resultID,raceID,driverID,constructorID,grid,position,points,laps,time,fastest_lap,fastest_lap_time,statusID
1,18,1,1,1,1,10.0,58,1:34:50.616,39,1:27.452,1
2,18,2,2,5,2,8.0,58,+5.478,41,1:27.739,1
3,18,3,3,7,3,6.0,58,+8.163,41,1:28.090,1
4,18,4,4,11,4,5.0,58,+17.181,58,1:28.603,1
5,18,5,1,3,5,4.0,58,+18.014,43,1:27.418,1
6,18,6,3,13,6,3.0,57,\N,50,1:29.639,11
7,18,7,5,17,7,2.0,55,\N,54,1:29.534,5
8,18,8,6,15,8,1.0,53,\N,20,1:27.903,5
9,18,9,2,2,\N,0.0,47,\N,15,1:28.753,4
10,18,10,7,18,\N,0.0,43,\N,23,1:29.558,3
11,18,11,8,19,\N,0.0,32,\N,24,1:30.892,7
12,18,12,4,20,\N,0.0,30,\N,20,1:31.384,8
13,18,13,6,4,\N,0.0,29,\N,23,1:28.175,5
14,18,14,9,8,\N,0.0,25,\N,21,1:29.502,4
15,18,15,7,6,\N,0.0,19,\N,18,1:29.310,10
16,18,16,10,22,\N,0.0,8,\N,8,1:32.021,9
17,18,17,9,14,\N,0.0,0,\N,\N,\N,4
18,18,18,11,12,\N,0.0,0,\N,\N,\N,4
19,18,19,8,21,\N,0.0,0,\N,\N,\N,4
20,18,20,5,9,\N,0.0,0,\N,\N,\N,4
21,18,21,10,16,\N,0.0,0,\N,\N,\N,4
22,18,22,11,10,\N,0.0,58,\N,44,1:28.736,2
23,19,8,6,2,1,10.0,56,1:31:18.555,37,1:35.405,1
24,19,9,2,4,2,8.0,56,+19.570,39,1:35.921,1
25,19,5,1,8,3,6.0,56,+38.450,19,1:35.922,1
26,19,15,7,3,4,5.0,56,+45.832,53,1:36.068,1
27,19,1,1,9,5,4.0,56,+46.548,53,1:35.462,1
28,19,2,2,5,6,3.0,56,+49.833,55,1:35.366,1
29,19,17,9,6,7,2.0,56,+1:08.130,53,1:36.696,1
30,19,4,4,7,8,1.0,56,+1:10.041,40,1:36.288,1
31,19,14,9,12,9,0.0,56,+1:16.220,55,1:36.206,1
32,19,18,11,11,10,0.0,56,+1:26.214,56,1:35.715,1
33,19,12,4,13,11,0.0,56,+1:32.202,52,1:36.956,1
34,19,21,10,17,12,0.0,55,\N,52,1:36.962,11
35,19,22,11,14,13,0.0,55,\N,55,1:36.693,11
36,19,3,3,16,14,0.0,55,\N,55,1:36.782,11
37,19,19,8,21,15,0.0,55,\N,55,1:38.171,11
38,19,11,8,19,16,0.0,54,\N,53,1:38.504,12
39,19,6,3,22,17,0.0,54,\N,19,1:37.711,12
40,19,20,5,15,\N,0.0,39,\N,37,1:36.870,5
41,19,13,6,1,\N,0.0,30,\N,15,1:35.914,20
42,19,16,10,20,\N,0.0,5,\N,3,1:40.330,9
43,19,10,7,10,\N,0.0,1,\N,\N,\N,4
44,19,7,5,18,\N,0.0,0,\N,\N,\N,20
45,20,13,6,2,1,10.0,57,1:31:06.970,38,1:33.600,1
46,20,8,6,4,2,8.0,57,+3.339,35,1:33.709,1
47,20,9,2,1,3,6.0,57,+4.998,55,1:33.775,1
48,20,2,2,6,4,5.0,57,+8.409,48,1:33.565,1
49,20,5,1,5,5,4.0,57,+26.789,49,1:33.193,1
50,20,15,7,7,6,3.0,57,+41.314,45,1:34.204,1
51,20,17,9,11,7,2.0,57,+45.473,51,1:34.305,1
52,20,3,3,8,8,1.0,57,+55.889,57,1:34.072,1
53,20,10,7,13,9,0.0,57,+1:09.500,56,1:34.807,1
54,20,4,4,10,10,0.0,57,+1:17.181,35,1:35.194,1
55,20,22,11,12,11,0.0,57,+1:17.862,40,1:34.855,1
56,20,21,10,18,12,0.0,56,\N,56,1:35.057,11
57,20,1,1,3,13,0.0,56,\N,25,1:35.520,11
58,20,6,3,16,14,0.0,56,\N,30,1:35.433,11
59,20,7,5,15,15,0.0,56,\N,33,1:35.333,11
60,20,19,8,21,16,0.0,56,\N,45,1:35.324,11
61,20,11,8,22,17,0.0,56,\N,56,1:35.891,11
62,20,14,9,17,18,0.0,56,\N,43,1:35.351,11
63,20,16,10,20,19,0.0,56,\N,55,1:35.442,12
64,20,12,4,14,\N,0.0,40,\N,31,1:35.129,6
65,20,18,11,9,\N,0.0,19,\N,11,1:36.125,4
66,20,20,5,19,\N,0.0,0,\N,\N,\N,5
67,21,8,6,1,1,10.0,66,1:38:19.051,46,1:21.670,1
68,21,13,6,3,2,8.0,66,+3.228,45,1:21.801,1
69,21,1,1,5,3,6.0,66,+4.187,20,1:22.017,1
70,21,9,2,4,4,5.0,66,+5.694,20,1:22.106,1
71,21,17,9,7,5,4.0,66,+35.938,19,1:22.564,1
72,21,18,11,13,6,3.0,66,+53.010,66,1:22.353,1
73,21,6,3,12,7,2.0,66,+58.244,48,1:23.549,1
74,21,15,7,8,8,1.0,66,+59.435,45,1:22.758,1
75,21,2,2,9,9,0.0,66,+1:03.073,21,1:22.519,1
76,21,21,10,19,10,0.0,65,\N,40,1:23.439,11
77,21,10,7,14,11,0.0,65,\N,57,1:23.007,11
78,21,14,9,17,12,0.0,65,\N,57,1:22.842,11
79,21,11,8,22,13,0.0,65,\N,34,1:24.617,11
80,21,3,3,15,\N,0.0,41,\N,20,1:23.319,5
81,21,4,4,2,\N,0.0,34,\N,15,1:22.683,5
82,21,22,11,11,\N,0.0,34,\N,21,1:23.858,4
83,21,5,1,6,\N,0.0,21,\N,19,1:22.453,3
84,21,19,8,21,\N,0.0,8,\N,6,1:26.864,21
85,21,7,5,16,\N,0.0,7,\N,6,1:25.999,4
86,21,12,4,10,\N,0.0,6,\N,6,1:25.444,4
87,21,16,10,20,\N,0.0,0,\N,\N,\N,4
88,21,20,5,18,\N,0.0,0,\N,\N,\N,4
