Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,2964.2871729567
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,13694.7310779137
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,15711.2173321171
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,64084.5149342309
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,9390.91827086088
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,26462.4119341251
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,28006.7736999391
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,13775.1811130634
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,37377.5022869711
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,55667.9241534879
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,62865.4863848378
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,19830.3223176308
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,31121.5851118287
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,53159.7509165403
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,5719.07243278242
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,17201.043212491
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,24846.9596661141
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,59315.7001438597
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,11971.6183636655
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,3077.84294838277
