Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Time required to start a business (days),IC.REG.DURS,Afghanistan,AFG,7.5
Time required to start a business (days),IC.REG.DURS,Albania,ALB,5
Time required to start a business (days),IC.REG.DURS,Algeria,DZA,20
Time required to start a business (days),IC.REG.DURS,American Samoa,ASM,..
Time required to start a business (days),IC.REG.DURS,Andorra,AND,..
Time required to start a business (days),IC.REG.DURS,Angola,AGO,36
Time required to start a business (days),IC.REG.DURS,Antigua and Barbuda,ATG,22
Time required to start a business (days),IC.REG.DURS,Arab World,ARB,23.1681818181818
Time required to start a business (days),IC.REG.DURS,Argentina,ARG,24
Time required to start a business (days),IC.REG.DURS,Armenia,ARM,4.5
Time required to start a business (days),IC.REG.DURS,Aruba,ABW,..
Time required to start a business (days),IC.REG.DURS,Australia,AUS,2.5
Time required to start a business (days),IC.REG.DURS,Austria,AUT,21
Time required to start a business (days),IC.REG.DURS,Azerbaijan,AZE,4.5
Time required to start a business (days),IC.REG.DURS,"Bahamas, The",BHS,21.5
Time required to start a business (days),IC.REG.DURS,Bahrain,BHR,9.3
Time required to start a business (days),IC.REG.DURS,Bangladesh,BGD,19.5
Time required to start a business (days),IC.REG.DURS,Barbados,BRB,15
Time required to start a business (days),IC.REG.DURS,Belarus,BLR,5
Time required to start a business (days),IC.REG.DURS,Belgium,BEL,4
Time required to start a business (days),IC.REG.DURS,Belize,BLZ,43
Time required to start a business (days),IC.REG.DURS,Benin,BEN,8.5
Time required to start a business (days),IC.REG.DURS,Bermuda,BMU,..
Time required to start a business (days),IC.REG.DURS,Bhutan,BTN,15
Time required to start a business (days),IC.REG.DURS,Bolivia,BOL,45
Time required to start a business (days),IC.REG.DURS,Bosnia and Herzegovina,BIH,65
Time required to start a business (days),IC.REG.DURS,Botswana,BWA,48
Time required to start a business (days),IC.REG.DURS,Brazil,BRA,79.5
Time required to start a business (days),IC.REG.DURS,British Virgin Islands,VGB,..
Time required to start a business (days),IC.REG.DURS,Brunei Darussalam,BRN,14.5
